X,Y
LZ,21959
E ,19685
:2,16439
Le,227192
Zo,269222
q1,32936
sj,344207
S),23912
#c,9686
h0,30233
*T,11741
*],11768
xz,359255
8d,167189
VV,24947
bK,28514
ey,302252
@^,18371
"""d",101189
=<,17369
t;,33866
Ig,218198
su,344240
((,11009
xJ,35111
eA,29384
Nx,233249
__,27674
Q ,23285
^p,281225
<Q,17132
6',15206
3T,14441
D!,19388
1k,146210
w4,34745
g',29906
"U,",24521
q{,338258
ww,356246
oV,32447
GD,20393
ae,290192
]P,27029
Ns,233234
O9,22760
?u,188240
P8,23057
Mo,230222
o1,32336
UC,24590
Do,203222
"?,",17921
!V,9047
oO,32426
?g,188198
K^,21671
ay,290252
Eu,206240
X4,25445
OB,22787
mk,326210
7],15668
`\,27965
a ,28085
#t,104237
* ,11585
Ys,266234
c(,28709
R~,245267
6Z,15359
mD,31793
=s,182234
"""b",9383
'$,10697
On,236219
v%,34400
>S,17738
S',23906
k%,31100
xN,35123
5|,158261
5:,14963
C!,19088
nU,32144
V),24812
z:,35663
0.,13427
[%,26300
z|,365261
HV,20747
Lg,227198
W(,25109
;=,16772
}:,36563
 j,95207
)\,11465
3l,152213
;X,16853
BU,18944
4/,14630
tP,33929
 E,8696
)D,11393
$M,9920
[E,26396
m{,326258
Yh,266201
y`,35477
gY,30056
A~,194267
6e,161192
2O,14126
T|,251261
zC,35690
8|,167261
PW,23150
j^,30971
#&,9503
"""p",101225
G6,20351
"t""",33791
5B,14987
Kz,224255
AX,18653
e),29312
?[,18062
74,15545
s~,344267
*y,125252
J;,21266
PP,23129
"!""",8891
fE,29696
F4,20045
e9,29360
~!,36788
",#",12194
'u,116240
U2,24539
>|,185261
%5,10148
/-,13124
Zv,269243
KM,21620
yi,362204
GP,20429
JU,21344
v;,34466
K],21668
Zx,269249
JB,21287
-B,12587
mi,326204
 7,8654
*9,11660
"""U",9344
^d,281189
rl,341213
=|,182261
!A,8984
=!,17288
l;,31466
L9,21860
=T,17441
vT,34541
f\,29765
+E,11996
@L,18317
gs,308234
ay,290252
h;,30266
`O,27926
bp,293225
;N,16823
jY,30956
4l,155213
i6,30551
j;,30866
@Q,18332
a],28268
 4,8645
m~,326267
8(,15809
uv,350243
{z,368255
v;,34466
`g,287198
%?,10178
u*,34115
t`,33977
=v,182243
Z5,26048
;8,16757
@Q,18332
Y(,25709
+U,12044
"""@",9281
_p,284225
10,13733
xD,35093
YB,25787
67,15254
]S,27038
PJ,23111
~w,377246
{W,36050
",0",12233
;9,16760
De,203192
Ee,206192
-u,134240
">,",17621
|o,371222
K5,21548
tX,33953
fv,305243
&),10412
?q,188228
j},317264
d\,29165
:i,173204
gD,29993
x@,35081
uC,34190
9/,16130
:2,16439
g7,29954
9q,170228
:o,173222
/&,13103
hT,30341
m[,31862
Nz,233255
'3,10742
Kr,224231
%.,10127
1\,13865
J:,21263
x),35012
M2,22139
ig,314198
K8,21557
|&,36203
 j,95207
b5,28448
"`""",27791
>D,17693
Rf,245195
=w,182246
OE,22796
hn,311219
2.,14027
jv,317243
|t,371237
9=,16172
*r,125231
p.,32627
K`,21677
Nk,233210
FY,20156
F@,20081
bK,28514
BK,18914
C2,19139
0',13406
\?,26678
RB,23687
u2,34139
7F,15599
c6,28751
J0,21233
"G,",20321
be,293192
Jd,221189
"""=",9272
lm,323216
e3,29342
@r,191231
ah,290201
%z,110255
a*,28115
^Z,27359
%),10112
$<,9869
ff,305195
ZN,26123
{$,35897
*>,11675
yI,35408
^',27206
k*,31115
^E,27296
G/,20330
i~,314267
*K,11714
c0,28733
?R,18035
1[,13862
Rh,245201
%J,10211
8>,15875
$X,9953
U:,24563
_1,27536
k@,31181
wz,356255
)+,11318
IQ,21032
=&,17303
}Q,36632
!C,8990
kD,31193
(3,11042
=-,17324
iS,30638
I|,218261
+A,11984
")""",11291
NS,22538
61,15236
QT,23441
5V,15047
:+,16418
9f,170195
",%",12200
7 ,15485
sP,33629
"r,",33221
k8,31157
*h,125201
"2,",14021
CN,19223
%2,10139
b),28412
@x,191249
IV,21047
{{,368258
Yi,266204
y:,35363
X=,25472
6a,15380
!P,9029
l},323264
#Q,9632
17,13754
02,13439
"B""",18791
X ,25385
U`,24677
mM,31820
An,194219
iO,30626
<\,17165
RV,23747
a?,28178
"&""",10391
s?,33578
P5,23048
L7,21854
.:,12863
R>,23675
(Y,11156
<V,17147
/l,140213
5P,15029
$L,9917
v<,34469
";,",16721
#R,9635
\W,26750
0n,143219
"""Z",9359
zv,365243
1K,13814
AU,18644
"""_",9374
MU,22244
b-,28424
Ez,206255
 g,95198
Y4,25745
=2,17339
R$,23597
"""6",9251
|+,36218
_h,284201
6#,15194
9>,16175
+5,11948
Tr,251231
}V,36647
$],9968
^%,27200
Zy,269252
n<,32069
!q,98228
y%,35300
No,233222
;i,176204
?~,188267
%',10106
"E,",19721
_t,284237
fH,29705
J ,21185
`Z,27959
GB,20387
O~,236267
>c,17786
v5,34448
$9,9860
"""q",101228
eR,29435
T{,251258
}a,36680
`h,287201
LC,21890
K<,21569
33,14342
VX,24953
FK,20114
Wh,260201
=%,17300
us,350234
}',36506
|Q,36332
P>,23075
p?,32678
UH,24605
td,347189
MX,22253
t2,33839
aV,28247
E4,19745
6V,15347
h9,30260
W+,25118
8E,15896
k),31112
QK,23414
{e,368192
-z,134255
(J,11111
X ,25385
e\,29465
Dm,203216
Bd,197189
c`,28877
7O,15626
:Q,16532
Le,227192
/H,13205
mD,31793
h<,30269
2},149264
5/,14930
c|,296261
|4,36245
3s,152234
g2,29939
Yu,266240
?P,18029
tA,33884
:b,16583
",x",131249
Z_,26174
dy,299252
&t,113237
9d,170189
p@,32681
w6,34751
)I,11408
C*,19115
3<,14369
Vn,257219
j=,30872
Fr,209231
D{,203258
"u""",34091
yQ,35432
pR,32735
D),19412
k1,31136
+n,128219
eD,29393
oJ,32411
.5,12848
h2,30239
x3,35042
Bi,197204
z9,35660
Ag,194198
Eu,206240
ib,30683
P-,23024
0R,13535
\x,275249
[3,26342
-u,134240
Im,218216
j ,30785
;#,16694
vp,353225
"""@",9281
rv,341243
A^,18671
{A,35984
Br,197231
E#,19694
=g,182198
EW,19850
mA,31784
Z=,26072
Ja,21380
ha,30380
vH,34505
WJ,25211
|\,36365
Lw,227246
\Q,26732
x4,35045
QC,23390
A=,18572
9o,170222
rB,33287
$N,9923
",b",12383
!|,98261
J$,21197
9W,16250
~l,377213
z#,35594
`Z,27959
|5,36248
H@,20681
d<,29069
*V,11747
]E,26996
@K,18314
j|,317261
;|,176261
fr,305231
1L,13817
2k,149210
"""k",101210
0},143264
7},164264
+5,11948
g),29912
P~,239267
lQ,31532
hD,30293
qI,33008
ht,311237
pn,335219
0$,13397
QV,23447
H~,215267
^j,281207
9P,16229
=6,17351
\8,26657
w;,34766
?Y,18056
=[,17462
a],28268
}3,36542
D<,19469
hc,30386
/r,140231
a5,28148
;p,176225
Ir,218231
!G,9002
_c,27686
)E,11396
6u,161240
Yd,266189
$_,9974
",a",12380
~H,36905
"k""",31091
x`,35177
&J,10511
\J,26711
VB,24887
@A,18284
Rj,245207
*N,11723
{t,368237
JC,21290
5@,14981
)V,11447
%2,10139
Tl,251213
@H,18305
d.,29027
j2,30839
3C,14390
pr,335231
p|,335261
cO,28826
TH,24305
AO,18626
8?,15878
D8,19457
hE,30296
.j,137207
XN,25523
1o,146222
#s,104234
7h,164201
Cd,200189
3i,152204
Sb,24083
77,15554
sv,344243
o^,32471
~q,377228
e7,29354
=X,17453
/?,13178
%%,10100
5],15068
+8,11957
ov,332243
K{,224258
H?,20678
I6,20951
:$,16397
$O,9926
3>,14375
0z,143255
ze,365192
%y,110252
^r,281231
]g,278198
Xf,263195
 -,8624
mN,31823
j|,317261
uc,34286
w[,34862
oW,32450
NG,22502
D@,19481
sn,344219
}a,36680
m^,31871
.Z,12959
eN,29423
'J,10811
>&,17603
co,296222
S&,23903
?9,17960
.#,12794
JN,21323
-},134264
c;,28766
[%,26300
_.,27527
4S,14738
T?,24278
DV,19547
IE,20996
js,317234
K6,21551
Qz,242255
lW,31550
j4,30845
FZ,20159
T~,251267
v?,34478
72,15539
bg,293198
7y,164252
x^,35171
4 ,14585
O;,22766
+&,11903
tv,347243
fS,29738
h ,30185
f?,29678
M5,22148
.n,137219
<h,179201
Bg,197198
G:,20363
B5,18848
Bt,197237
gS,30038
5Y,15056
i0,30533
`',27806
U{,254258
OA,22784
!G,9002
\Z,26759
9Y,16256
y.,35327
=v,182243
?P,18029
~C,36890
-@,12581
j#,30794
"""_",9374
Hw,215246
ro,341222
Zg,269198
da,29180
r(,33209
KO,21626
m(,31709
EL,19817
Vb,24983
gS,30038
t9,33860
0M,13520
_6,27551
)#,11294
0[,13562
%(,10109
SP,24029
ar,290231
r~,341267
[=,26372
&E,10496
T{,251258
~\,36965
.9,12860
R+,23618
M%,22100
f?,29678
}W,36650
c/,28730
to,347222
8i,167204
SL,24017
-<,12569
z3,35642
2v,149243
4},155264
v@,34481
'i,116204
'),10712
[a,26480
O),22712
PK,23114
gI,30008
;v,176243
]2,26939
c^,28871
h\,30365
pQ,32732
R|,245261
$k,107210
g@,29981
Wk,260210
L$,21797
d3,29042
e5,29348
;],16868
ZC,26090
vF,34499
PD,23093
n!,31988
'{,116258
1T,13841
X4,25445
]k,278210
`%,27800
%u,110240
NG,22502
*s,125234
 S,8738
sM,33620
"3""",14291
OV,22847
P:,23063
t1,33836
Pf,239195
2K,14114
",a",12380
ZC,26090
DQ,19532
l2,31439
"""~",101267
^y,281252
iq,314228
k2,31139
z3,35642
*B,11687
q8,32957
e1,29336
V_,24974
y@,35381
9Q,16232
\8,26657
<:,17063
- ,12485
Ux,254249
";,",16721
$H,9905
w ,34685
My,230252
BT,18941
":,",16421
jl,317213
SL,24017
B5,18848
9j,170207
;E,16796
8',15806
76,15551
lL,31517
Ex,206249
K.,21527
q`,33077
B*,18815
*[,11762
We,260192
L#,21794
xR,35135
bq,293228
_H,27605
rg,341198
6s,161234
7q,164228
(=,11072
)c,11486
u-,34124
:e,173192
B*,18815
&j,113207
HI,20708
l5,31448
1Z,13859
^P,27329
"""@",9281
\i,275204
PF,23099
(N,11123
* ,11585
xA,35084
=;,17366
'k,116210
yc,35486
gI,30008
:O,16526
=3,17342
?/,17930
<(,17009
|D,36293
)r,122231
L9,21860
U_,24674
Mu,230240
Tf,251195
K|,224261
mY,31856
Tz,251255
sX,33653
}M,36620
(3,11042
2f,149195
N),22412
B-,18824
p%,32600
6f,161195
=_,17474
f7,29654
t/,33830
k},320264
C%,19100
{n,368219
gP,30029
c*,28715
Id,218189
)X,11453
UL,24617
A-,18524
p_,32774
&%,10400
ZN,26123
>r,185231
*),11612
\u,275240
(m,119216
p$,32597
|D,36293
)-,11324
nS,32138
1=,13772
)n,122219
vt,353237
%1,10136
b>,28475
l%,31400
xy,359252
-),12512
J?,21278
Nx,233249
T#,24194
NX,22553
tC,33890
^g,281198
`y,287252
X%,25400
t/,33830
\ ,26585
6s,161234
N4,22445
yN,35423
&S,10538
.*,12815
E0,19733
 ~,95267
5;,14966
IP,21029
!g,98198
QW,23450
65,15248
(@,11081
TK,24314
@4,18245
;3,16742
HB,20687
:b,16583
(|,119261
U_,24674
v>,34475
{+,35918
`3,27842
AT,18641
l=,31472
%Q,10232
qZ,33059
|a,36380
@;,18266
",f",131195
:z,173255
3k,152210
Zg,269198
#>,9575
D\,19565
dt,299237
L2,21839
vC,34490
"""Y",9356
Yw,266246
R`,23777
u%,34100
Zh,269201
*^,11771
[B,26387
J),21212
Q[,23462
5@,14981
\m,275216
*L,11717
Yi,266204
aM,28220
`@,27881
)T,11441
xO,35126
V!,24788
x<,35069
Gr,212231
hW,30350
dz,299255
Kx,224249
yW,35450
< ,16985
f;,29666
LM,21920
`U,27944
"\""",26591
Oy,236252
R7,23654
v:,34463
T/,24230
/!,13088
(M,11120
5&,14903
*^,11771
j@,30881
97,16154
p{,335258
hJ,30311
:h,173201
: ,16385
zF,35699
8+,15818
Bl,197213
+i,128204
bf,293195
q0,32933
{X,36053
>_,17774
:<,16469
2s,149234
F},209264
{a,36080
~s,377234
sE,33596
*B,11687
"!,",8921
C!,19088
ax,290249
T2,24239
N{,233258
{1,35936
8>,15875
({,119258
`T,27941
;{,176258
>K,17714
yA,35384
1G,13802
!k,98210
[?,26378
({,119258
(u,119240
2},149264
"E,",19721
+r,128231
0@,13481
;{,176258
",!",12188
;P,16829
(/,11030
tP,33929
n#,31994
X=,25472
YP,25829
4P,14729
.1,12836
"""V",9347
%8,10157
OU,22844
%_,10274
oh,332201
3Y,14456
Sj,248207
1R,13835
"N,",22421
?8,17957
(s,119234
&T,10541
8O,15926
y9,35360
"o""",32291
'O,10826
*.,11627
k5,31148
0>,13475
vT,34541
Db,19583
1S,13838
4\,14765
!y,98252
]I,27008
*|,125261
Mp,230225
J9,21260
-c,12686
m3,31742
$I,9908
L9,21860
OA,22784
Yu,266240
04,13445
Gf,212195
j&,30803
5],15068
"p""",32591
xX,35153
3$,14297
}p,374225
 #,8594
! ,8885
-`,12677
7a,15680
uG,34202
O7,22754
4~,155267
;h,176201
l$,31397
F=,20072
e.,29327
Z4,26045
_@,27581
L6,21851
%$,10097
MO,22226
<{,179258
o*,32315
#},104264
'r,116231
q^,33071
18,13757
Y),25712
 K,8714
"<""",16991
Qg,242198
h1,30236
wB,34787
tW,33950
81,15836
HY,20756
#p,104225
hw,311246
QH,23405
(p,119225
R ,23585
ma,31880
nn,329219
X~,263267
Q5,23348
 q,95228
K$,21497
 :,8663
Z4,26045
ME,22196
g@,29981
"""w",101246
Bq,197228
ex,302249
]P,27029
&H,10505
8',15806
#y,104252
|Y,36356
U;,24566
%m,110216
\[,26762
QV,23447
?>,17975
yF,35399
od,332189
Dw,203246
Bv,197243
@J,18311
z?,35678
fD,29693
Zd,269189
Kn,224219
Ga,20480
*8,11657
OF,22799
#q,104228
VO,24926
-S,12638
[N,26423
`h,287201
-',12506
X.,25427
}z,374255
>V,17747
'\,10865
?\,18065
K1,21536
",6",12251
9H,16205
5.,14927
8M,15920
n#,31994
fk,305210
Y=,25772
P.,23027
~3,36842
~T,36941
*H,11705
Pe,239192
j%,30800
p*,32615
Zv,269243
!C,8990
^+,27218
0K,13514
XY,25556
/v,140243
 X,8753
);,11366
eU,29444
D^,19571
(X,11153
a\,28265
vV,34547
!a,9080
4e,155192
~@,36881
3z,152255
W{,260258
#|,104261
yd,362189
+w,128246
/],13268
@X,18353
po,335222
-G,12602
/a,13280
ge,308192
CB,19187
m3,31742
)d,122189
zE,35696
Q&,23303
is,314234
wK,34814
ah,290201
:G,16502
_b,27683
9B,16187
pg,335198
.h,137201
u1,34136
vd,353189
M~,230267
[W,26450
B[,18962
 D,8693
1?,13778
EA,19784
o~,332267
4b,14783
5F,14999
5X,15053
'X,10853
AV,18647
.I,12908
zJ,35711
k],31268
r[,33362
;~,176267
6+,15218
^=,27272
?g,188198
&X,10553
Om,236216
Is,218234
-n,134219
GH,20405
9z,170255
Kd,224189
-u,134240
mz,326255
v!,34388
Ux,254249
F:,20063
{S,36038
W+,25118
Ee,206192
9i,170204
{(,35909
/l,140213
J ,21185
%7,10154
my,326252
gG,30002
"Y,",25721
I~,218267
q1,32936
cP,28829
KA,21584
uW,34250
*0,11633
R.,23627
j9,30860
Ku,224240
he,311192
o',32306
C7,19154
@H,18305
5<,14969
(V,11147
fU,29744
0>,13475
]q,278228
i`,30677
of,332195
'Z,10859
:1,16436
C',19106
",h",131201
:3,16442
8@,15881
",7",12254
:i,173204
"b""",28391
Dc,19586
VW,24950
CB,19187
u&,34103
7 ,15485
Kq,224228
f>,29675
",j",131207
0H,13505
R;,23666
! ,8885
K*,21515
xS,35138
T2,24239
K%,21500
)d,122189
_;,27566
J.,21227
2h,149201
G6,20351
g$,29897
np,329225
u ,34085
<|,179261
uy,350252
DQ,19532
}w,374246
1D,13793
0y,143252
pm,335216
3^,14471
aK,28214
*?,11678
Ya,25880
fb,29783
{A,35984
#.,9527
F(,20009
iu,314240
b:,28463
w9,34760
.P,12929
qt,338237
ux,350249
`:,27863
a`,28277
Sj,248207
 i,95204
{m,368216
i&,30503
Kx,224249
`_,27974
B},197264
OW,22850
h\,30365
Q],23468
*P,11729
4x,155249
"C,",19121
`/,27830
2T,14141
MI,22208
n.,32027
'C,10790
ie,314192
uq,350228
*$,11597
D(,19409
`1,27836
8|,167261
NA,22484
71,15536
-x,134249
t&,33803
W*,25115
oP,32429
kn,320219
 5,8648
=;,17366
E#,19694
"""t",101237
"""b",9383
<A,17084
",F",12299
H&,20603
)l,122213
#>,9575
An,194219
:>,16475
@E,18296
S\,24065
- ,12485
UL,24617
z],35768
KL,21617
;:,16763
V/,24830
MB,22187
Gy,212252
Lb,21983
",a",12380
R[,23762
m!,31688
{@,35981
r#,33194
Wv,260243
>$,17597
3H,14405
N1,22436
W{,260258
x6,35051
uN,34223
gh,308201
#R,9635
7_,15674
v5,34448
Xy,263252
X9,25460
Yd,266189
r%,33200
l4,31445
P.,23027
?m,188216
?c,18086
$],9968
U8,24557
Zv,269243
<-,17024
*O,11726
^y,281252
&P,10529
/@,13181
[/,26330
ST,24041
J.,21227
f),29612
Zq,269228
5X,15053
Ul,254213
X<,25469
"j""",30791
_+,27518
",0",12233
bR,28535
ii,314204
eb,29483
d-,29024
HH,20705
4B,14687
Q<,23369
]-,26924
i`,30677
ee,302192
;E,16796
U0,24533
t',33806
?=,17972
Wj,260207
Y_,25874
dc,29186
k*,31115
DO,19526
Cy,200252
`b,27983
sw,344246
aC,28190
\Q,26732
Ht,215237
_N,27623
`@,27881
>/,17630
x>,35075
CY,19256
]R,27035
i5,30548
=>,17375
7m,164216
y9,35360
N),22412
Y7,25754
gf,308195
xa,35180
*f,125195
\},275264
3e,152192
.4,12845
:_,16574
k~,320267
{!,35888
Ik,218210
|v,371243
^.,27227
9w,170246
O6,22751
N5,22448
QH,23405
h\,30365
`;,27866
g4,29945
+s,128234
sK,33614
G(,20309
o8,32357
<4,17045
Mz,230255
|>,36275
iu,314240
=',17306
$a,9980
1',13706
es,302234
6?,15278
Pl,239213
&m,113216
"""a",9380
tE,33896
",i",131204
!Q,9032
l~,323267
4!,14588
^~,281267
|8,36257
#z,104255
1b,13883
bn,293219
k*,31115
WE,25196
=\,17465
gG,30002
rn,341219
n_,32174
@?,18278
bH,28505
88,15857
L<,21869
<^,17171
K',21506
Sl,248213
9b,16283
:',16406
e.,29327
wD,34793
 h,95201
~.,36827
*',11606
f?,29678
1 ,13685
%+,10118
-L,12617
LX,21953
o4,32345
)V,11447
ip,314225
Sk,248210
lV,31547
""" ",9185
0l,143213
{G,36002
k*,31115
zY,35756
-Z,12659
_<,27569
4;,14666
dj,299207
X=,25472
tM,33920
fX,29753
bw,293246
 (,8609
"<""",16991
x!,34988
qm,338216
\N,26723
]x,278249
qs,338234
31,14336
ei,302204
i},314264
?*,17915
7(,15509
Fi,209204
8 ,15785
G8,20357
Y*,25715
bi,293204
id,314189
T~,251267
ty,347252
Zo,269222
4;,14666
jf,317195
yv,362243
!k,98210
ji,317204
Bv,197243
W.,25127
ll,323213
I&,20903
DC,19490
[W,26450
>o,185222
'V,10847
~D,36893
$_,9974
7],15668
'@,10781
!<,8969
!M,9020
LQ,21932
pQ,32732
oh,332201
.b,12983
+I,12008
BF,18899
;>,16775
m?,31778
Mn,230219
DY,19556
r&,33203
Cv,200243
Vd,257189
ai,290204
Ps,239234
~=,36872
|V,36347
8R,15935
3G,14402
z2,35639
9^,16271
BA,18884
w8,34757
!U,9044
__,27674
.X,12953
58,14957
<S,17138
dA,29084
q/,32930
ON,22823
#H,9605
c;,28766
._,12974
N ,22385
Tu,251240
cZ,28859
'd,116189
|',36206
H7,20654
ug,350198
bP,28529
FH,20105
w&,34703
<q,179228
@P,18329
Os,236234
y(,35309
[*,26315
6P,15329
%M,10220
K.,21527
>j,185207
Mf,230195
03,13442
WL,25217
Md,230189
Gp,212225
4(,14609
iN,30623
\?,26678
e4,29345
M/,22130
h/,30230
0y,143252
b[,28562
nh,329201
}c,36686
0$,13397
8_,15974
"u,",34121
UV,24647
2d,149189
9&,16103
C`,19277
"d""",28991
V:,24863
y5,35348
en,302219
ws,356234
%U,10244
;f,176195
]8,26957
hG,30302
\t,275237
Uo,254222
hT,30341
W8,25157
SE,23996
g*,29915
2f,149195
Av,194243
88,15857
1(,13709
?Z,18059
^0,27233
zS,35738
q/,32930
(=,11072
Wr,260231
Iw,218246
6|,161261
1`,13877
r$,33197
PJ,23111
"(""",10991
2_,14174
I/,20930
"Y""",25691
1V,13847
84,15845
zp,365225
\o,275222
W&,25103
7\,15665
U#,24494
|/,36230
wv,356243
[S,26438
X4,25445
/_,13274
Mu,230240
Mm,230216
<2,17039
5:,14963
}7,36554
%R,10235
Ja,21380
TE,24296
yq,362228
7b,15683
+p,128225
 +,8618
F0,20033
gv,308243
g),29912
p~,335267
V;,24866
R_,23774
\b,26783
#x,104249
jl,317213
Gc,20486
)3,11342
Z?,26078
Xs,263234
q@,32981
qp,338225
_`,27677
Iw,218246
8\,15965
U1,24536
1S,13838
[',26306
sG,33602
>F,17699
|7,36254
}l,374213
;},176264
J:,21263
6U,15344
RS,23738
J;,21266
ck,296210
L.,21827
1 ,13685
5`,15077
J{,221258
Yg,266198
3Y,14456
q*,32915
IL,21017
!9,8960
C+,19118
Y',25706
FU,20144
5l,158213
%),10112
":,",16421
bQ,28532
",1",12236
oM,32420
a},290264
sH,33605
QR,23435
>v,185243
8-,15824
"#,",9521
5v,158243
6g,161198
u;,34166
"""=",9272
ak,290210
6\,15365
$@,9881
?A,17984
ik,314210
eG,29402
ia,30680
D_,19574
_Q,27632
qw,338246
+.,11927
$B,9887
;P,16829
7$,15497
/n,140219
Y^,25871
'r,116231
W&,25103
dJ,29111
M%,22100
Nb,22583
(r,119231
?],18068
x%,35000
{R,36035
kL,31217
wk,356210
X0,25433
2y,149252
_*,27515
e8,29357
#f,104195
$C,9890
0@,13481
if,314195
9_,16274
r=,33272
9',16106
p`,32777
w/,34730
Tm,251216
5#,14894
Q?,23378
"""O",9326
qK,33014
wQ,34832
XV,25547
)R,11435
i<,30569
7e,164192
f4,29645
lJ,31511
f?,29678
&q,113228
Gy,212252
5r,158231
4%,14600
*H,11705
sU,33644
.7,12854
yp,362225
C7,19154
D3,19442
uH,34205
JZ,21359
r7,33254
",Y",12356
d?,29078
Lj,227207
ct,296237
yw,362246
Q:,23363
uz,350255
]`,27077
ok,332210
ZQ,26132
aW,28250
zG,35702
lb,31583
w7,34754
TS,24338
u^,34271
&\,10565
JF,21299
oY,32456
EM,19820
OP,22829
ua,34280
gY,30056
iX,30653
xj,359207
0`,13577
M9,22160
.z,137255
lD,31493
uD,34193
 b,8783
Ty,251252
\R,26735
8p,167225
[o,272222
l|,323261
k9,31160
T^,24371
^(,27209
bx,293249
:.,16427
02,13439
;I,16808
jf,317195
(G,11102
^l,281213
Qq,242228
/u,140240
aV,28247
m&,31703
pw,335246
#v,104243
NG,22502
M1,22136
r&,33203
){,122258
|p,371225
:',16406
:9,16460
u+,34118
<!,16988
d\,29165
!k,98210
Ie,218192
sz,344255
", ",12185
<w,179246
xX,35153
_2,27539
U5,24548
PT,23141
o;,32366
Pi,239204
Lw,227246
!Y,9056
\0,26633
`4,27845
ok,332210
yP,35429
=x,182249
4p,155225
0I,13508
\9,26660
Hm,215216
Wd,260189
g ,29885
X%,25400
#!,9488
U<,24569
F8,20057
d(,29009
"""J",9311
:?,16478
/8,13157
P),23012
76,15551
+6,11951
wR,34835
tS,33938
%{,110258
x\,35165
w/,34730
dp,299225
Ke,224192
qK,33014
?E,17996
+8,11957
vy,353252
qV,33047
Oo,236222
Z~,269267
$w,107246
Y6,25751
gS,30038
X-,25424
3*,14315
VC,24890
"#,",9521
hs,311234
Gz,212255
y%,35300
Z:,26063
?~,188267
4A,14684
",""",12191
q@,32981
GN,20423
8w,167246
N ,22385
#%,9500
42,14639
|`,36377
o^,32471
}Z,36659
]W,27050
$R,9935
jV,30947
:.,16427
Se,248192
`R,27935
dg,299198
k[,31262
b5,28448
bZ,28559
Y!,25688
c5,28748
n.,32027
eF,29399
xt,359237
J?,21278
P*,23015
`Z,27959
=D,17393
}S,36638
mM,31820
P^,23171
VE,24896
d=,29072
mB,31787
",H",12305
qi,338204
W.,25127
XR,25535
ba,28580
F*,20015
sR,33635
{3,35942
"k""",31091
_2,27539
~|,377261
f},305264
sr,344231
[H,26405
kE,31196
Y^,25871
/!,13088
Lk,227210
qZ,33059
mB,31787
`{,287258
ar,290231
.z,137255
0z,143255
Lg,227198
OF,22799
Pg,239198
As,194234
cw,296246
`J,27911
@6,18251
!p,98225
qy,338252
a?,28178
.~,137267
^;,27266
m6,31751
_A,27584
eu,302240
bQ,28532
^L,27317
mf,326195
*5,11648
"""W",9350
/b,13283
iv,314243
w],34868
RS,23738
l:,31463
1l,146213
~F,36899
x0,35033
$#,9794
|5,36248
s{,344258
c7,28754
4*,14615
2\,14165
Z],26168
;J,16811
vI,34508
{|,368261
A8,18557
54,14945
vi,353204
?d,188189
"""t",101237
Va,24980
&n,113219
I),20912
I{,218258
2~,149267
8K,15914
om,332216
&$,10397
3!,14288
k#,31094
Ks,224234
Ac,18686
#[,9662
4f,155195
tT,33941
0T,13541
TU,24344
@2,18239
Yz,266255
~C,36890
Q6,23351
mX,31853
1k,146210
]x,278249
3x,152249
s~,344267
fS,29738
~`,36977
7;,15566
u[,34262
@',18206
%+,10118
~;,36866
'!,10688
DP,19529
|\,36365
q5,32948
Cj,200207
H-,20624
6D,15293
Kb,21683
>$,17597
wg,356198
[O,26426
s>,33575
{t,368237
!+,8918
a3,28142
Z6,26051
Vy,257252
&i,113204
E2,19739
Fq,209228
6>,15275
xO,35126
(4,11045
I:,20963
aD,28193
"""x",101249
sv,344243
W ,25085
~W,36950
Fw,209246
GP,20429
&M,10520
0&,13403
L>,21875
nV,32147
RY,23756
]b,27083
ye,362192
GS,20438
Te,251192
8O,15926
YG,25802
PP,23129
;Q,16832
-j,134207
Q],23468
.F,12899
IA,20984
oH,32405
't,116237
ON,22823
g],30068
>n,185219
m4,31745
*!,11588
Wo,260222
p`,32777
<q,179228
6S,15338
xX,35153
6g,161198
+X,12053
4|,155261
BU,18944
~N,36923
d ,28985
d>,29075
J:,21263
|V,36347
oa,32480
]q,278228
Ot,236237
m<,31769
L(,21809
s!,33488
"{,",35921
M/,22130
qw,338246
e~,302267
X2,25439
)r,122231
@G,18302
5],15068
K-,21524
\~,275267
}m,374216
&K,10514
{2,35939
q&,32903
Q$,23297
xX,35153
g<,29969
8P,15929
=.,17327
56,14951
Eh,206201
BV,18947
11,13736
S',23906
y+,35318
 (,8609
JZ,21359
~E,36896
LF,21899
15,13748
W5,25148
$5,9848
xq,359228
i3,30542
;;,16766
",`",12377
\=,26672
;m,176216
*O,11726
{+,35918
A),18512
V2,24839
7!,15488
",F",12299
D(,19409
f=,29672
_},284264
vN,34523
$`,9977
!/,8930
FQ,20132
J3,21242
"""P",9329
!9,8960
VI,24908
:u,173240
G7,20354
#d,104189
1J,13811
_:,27563
/9,13160
}B,36587
Q8,23357
CG,19202
V?,24878
]o,278222
j~,317267
;=,16772
3+,14318
DX,19553
2A,14084
CG,19202
tf,347195
}t,374237
tx,347249
7g,164198
<y,179252
:{,173258
k:,31163
+m,128216
p`,32777
);,11366
h;,30266
An,194219
j!,30788
.1,12836
U3,24542
E;,19766
Nl,233213
hi,311204
H1,20636
kA,31184
qU,33044
P<,23069
q`,33077
CH,19205
K<,21569
=*,17315
2+,14018
u),34112
'J,10811
.X,12953
T.,24227
oZ,32459
!0,8933
4X,14753
Ni,233204
"K""",21491
NY,22556
a!,28088
